iterations, archive avg enemy fitness, archive avg total fitness, avg delta total fitness, elites total, elites enemFitness above 0.8
500, 0.8779588, 2.707727, 0.03101262, 181, 173
1000, 0.8842427, 2.690846, 0.03181047, 246, 234
1500, 0.8874267, 2.691863, 0.02259019, 279, 261
2000, 0.887648, 2.689499, 0.02130036, 309, 286
2500, 0.8859307, 2.680753, 0.02428237, 340, 312
3000, 0.8859817, 2.677873, 0.02520829, 363, 334
3500, 0.8868854, 2.676064, 0.0260049, 386, 354
4000, 0.8886818, 2.67807, 0.02828311, 403, 372
4500, 0.8891593, 2.676701, 0.03003844, 424, 392
5000, 0.8889153, 2.676597, 0.02264337, 434, 399
5500, 0.8940389, 2.678632, 0.03031132, 465, 434
6000, 0.8998784, 2.676845, 0.03058469, 504, 472
6500, 0.9043126, 2.667361, 0.02968814, 561, 527
7000, 0.9088004, 2.666471, 0.0312272, 597, 562
7500, 0.9112296, 2.662492, 0.02984955, 627, 590
8000, 0.9153418, 2.65999, 0.02903752, 662, 629
8500, 0.918444, 2.657388, 0.0276621, 703, 670
9000, 0.9211934, 2.656059, 0.02391957, 729, 697
9500, 0.9244142, 2.653461, 0.03977978, 766, 737
10000, 0.9269175, 2.653438, 0.03164861, 800, 770
10500, 0.9298273, 2.650233, 0.03439981, 831, 803
11000, 0.9330277, 2.651645, 0.02883985, 865, 842
11500, 0.9347989, 2.650981, 0.02801884, 901, 879
12000, 0.9375702, 2.652368, 0.02513987, 927, 909
12500, 0.9402419, 2.652501, 0.03362684, 955, 939
13000, 0.9420155, 2.654254, 0.02855576, 987, 969
13500, 0.9447957, 2.655551, 0.0323971, 1018, 1003
14000, 0.9464063, 2.656025, 0.03192037, 1049, 1036
14500, 0.9480914, 2.657689, 0.02518562, 1076, 1064
15000, 0.9490526, 2.658992, 0.03131924, 1106, 1090
15500, 0.9507, 2.661089, 0.0251188, 1136, 1121
16000, 0.9523653, 2.662719, 0.02812082, 1153, 1140
16500, 0.9538801, 2.664394, 0.02846832, 1178, 1166
17000, 0.9548556, 2.666128, 0.02781088, 1210, 1198
17500, 0.9560711, 2.668355, 0.02512282, 1236, 1225
18000, 0.9566579, 2.669782, 0.02801016, 1260, 1247
18500, 0.9576688, 2.670544, 0.01999094, 1285, 1271
19000, 0.9587675, 2.670999, 0.02778388, 1304, 1292
19500, 0.9594527, 2.671653, 0.01935868, 1320, 1308
20000, 0.9603742, 2.673366, 0.0269931, 1338, 1327
20500, 0.9609243, 2.6747, 0.02019198, 1354, 1343
21000, 0.9618477, 2.676163, 0.0229902, 1366, 1355
21500, 0.9624978, 2.677471, 0.02370623, 1388, 1378
22000, 0.9628113, 2.678697, 0.02217725, 1405, 1394
22500, 0.9633452, 2.680171, 0.025298, 1424, 1414
23000, 0.9639807, 2.682151, 0.02056515, 1452, 1442
23500, 0.9643326, 2.68395, 0.02068711, 1477, 1467
24000, 0.9649077, 2.685341, 0.02481056, 1498, 1488
24500, 0.9650722, 2.685836, 0.02147133, 1517, 1508
25000, 0.9654765, 2.686328, 0.01997043, 1527, 1518
25500, 0.965604, 2.686647, 0.02380437, 1549, 1540
26000, 0.9660326, 2.68765, 0.02156704, 1565, 1556
26500, 0.966518, 2.68754, 0.02188801, 1577, 1568
27000, 0.9668972, 2.688595, 0.02508818, 1590, 1582
27500, 0.967209, 2.690356, 0.02394928, 1615, 1608
28000, 0.967356, 2.691501, 0.01837322, 1628, 1620
28500, 0.9674979, 2.692268, 0.02678347, 1651, 1643
29000, 0.9681379, 2.693914, 0.01863783, 1668, 1661
29500, 0.9682689, 2.694895, 0.02514793, 1683, 1674
30000, 0.9685749, 2.69646, 0.02687692, 1703, 1696
30500, 0.9689849, 2.697336, 0.01989905, 1716, 1709
31000, 0.969313, 2.697928, 0.01841813, 1733, 1726
31500, 0.9696976, 2.698991, 0.01984577, 1745, 1738
32000, 0.9700999, 2.699379, 0.01981729, 1752, 1745
32500, 0.970303, 2.700136, 0.01709661, 1765, 1757
33000, 0.9709412, 2.701515, 0.02600825, 1779, 1771
33500, 0.9712972, 2.702354, 0.01904975, 1792, 1784
34000, 0.971691, 2.70364, 0.02203316, 1807, 1799
34500, 0.9725593, 2.705195, 0.03375431, 1820, 1814
35000, 0.972763, 2.706456, 0.02048576, 1840, 1834
35500, 0.9730976, 2.707497, 0.02125237, 1853, 1847
36000, 0.9733879, 2.708375, 0.01847241, 1871, 1865
36500, 0.9735993, 2.709185, 0.01821805, 1883, 1877
37000, 0.9740415, 2.709593, 0.02411154, 1891, 1885
37500, 0.9743154, 2.71051, 0.02499625, 1903, 1898
38000, 0.9742761, 2.710993, 0.01959677, 1916, 1911
38500, 0.9742692, 2.711584, 0.01221012, 1929, 1924
39000, 0.9747323, 2.712531, 0.02622326, 1944, 1939
39500, 0.975012, 2.71325, 0.02160624, 1954, 1949
40000, 0.9750144, 2.713771, 0.01808086, 1967, 1961
40500, 0.9754522, 2.714523, 0.02379854, 1976, 1970
41000, 0.9756796, 2.715279, 0.02534821, 1987, 1981
41500, 0.9759202, 2.716162, 0.01993736, 2000, 1994
42000, 0.9761964, 2.716805, 0.0197943, 2010, 2004
42500, 0.9763974, 2.717266, 0.01819055, 2018, 2012
43000, 0.9764528, 2.717925, 0.01790009, 2032, 2026
43500, 0.9763525, 2.718027, 0.01998769, 2041, 2035
44000, 0.9764522, 2.71911, 0.02020236, 2059, 2053
44500, 0.9765914, 2.719814, 0.01892984, 2074, 2067
45000, 0.9767033, 2.720034, 0.02009142, 2082, 2076
45500, 0.9768043, 2.720477, 0.01853798, 2094, 2088
46000, 0.9768136, 2.720558, 0.01955349, 2105, 2099
46500, 0.9770663, 2.720798, 0.02356614, 2114, 2108
47000, 0.9773477, 2.721566, 0.01861864, 2122, 2116
47500, 0.9774219, 2.722021, 0.02163517, 2130, 2124
48000, 0.9774552, 2.722549, 0.01691682, 2140, 2135
48500, 0.9775744, 2.723078, 0.01972473, 2149, 2144
49000, 0.9776856, 2.723637, 0.01800097, 2161, 2156
49500, 0.9777564, 2.724338, 0.01710474, 2172, 2167
50000, 0.9780443, 2.724988, 0.02144908, 2180, 2175
50500, 0.9779937, 2.725387, 0.01853697, 2192, 2187
51000, 0.97808, 2.725902, 0.01684843, 2200, 2195
51500, 0.9781586, 2.726485, 0.0232953, 2211, 2207
52000, 0.9783076, 2.726993, 0.02488729, 2223, 2219
52500, 0.9785932, 2.727412, 0.01919611, 2227, 2223
53000, 0.9784675, 2.72753, 0.02295645, 2244, 2238
53500, 0.9785002, 2.727704, 0.01780499, 2256, 2250
54000, 0.9786085, 2.728055, 0.01905971, 2262, 2255
54500, 0.9787789, 2.728167, 0.02410132, 2270, 2264
55000, 0.9791906, 2.728831, 0.03264339, 2275, 2270
55500, 0.9792707, 2.729261, 0.01466309, 2284, 2280
56000, 0.9793153, 2.729551, 0.01812088, 2291, 2287
56500, 0.9793165, 2.730223, 0.02227345, 2304, 2300
57000, 0.9794297, 2.730658, 0.01649037, 2310, 2306
57500, 0.9794713, 2.731152, 0.01932558, 2318, 2314
58000, 0.9793987, 2.731658, 0.01872338, 2328, 2323
58500, 0.9793946, 2.731883, 0.02127835, 2335, 2329
59000, 0.9796475, 2.732553, 0.02953497, 2343, 2337
59500, 0.9798962, 2.73287, 0.02180406, 2344, 2338
60000, 0.9799899, 2.733252, 0.0196602, 2349, 2343
60500, 0.9801456, 2.733454, 0.02579117, 2361, 2355
61000, 0.980365, 2.733935, 0.03731331, 2366, 2360
61500, 0.9803452, 2.734088, 0.01552927, 2377, 2371
62000, 0.9805123, 2.734411, 0.02175738, 2383, 2378
62500, 0.9804969, 2.734601, 0.01847846, 2389, 2384
63000, 0.9806302, 2.734831, 0.02400303, 2395, 2391
63500, 0.9806656, 2.735116, 0.01938866, 2401, 2396
64000, 0.9807491, 2.735333, 0.02041772, 2407, 2402
64500, 0.9810232, 2.735823, 0.02440905, 2411, 2406
65000, 0.9809537, 2.736026, 0.01079036, 2419, 2414
65500, 0.9810607, 2.736435, 0.02522788, 2424, 2418
66000, 0.981262, 2.736915, 0.01895329, 2430, 2424
66500, 0.9815182, 2.737255, 0.02598271, 2433, 2428
67000, 0.9816688, 2.737531, 0.02087669, 2437, 2432
67500, 0.9817362, 2.73776, 0.01411913, 2442, 2438
68000, 0.9818666, 2.73822, 0.01797609, 2447, 2443
68500, 0.9820383, 2.738435, 0.01955632, 2455, 2451
69000, 0.9820232, 2.738708, 0.01053645, 2461, 2457
69500, 0.9821529, 2.739179, 0.02066576, 2468, 2464
70000, 0.9822282, 2.739328, 0.01649453, 2472, 2468
70500, 0.9823612, 2.739591, 0.02094043, 2477, 2473
71000, 0.9823025, 2.739969, 0.01742399, 2486, 2482
71500, 0.9823055, 2.740284, 0.01345221, 2495, 2491
72000, 0.9824854, 2.740562, 0.01626367, 2497, 2493
72500, 0.9825655, 2.740634, 0.01552196, 2500, 2496
73000, 0.9825662, 2.740811, 0.0122341, 2505, 2501
73500, 0.9827027, 2.741155, 0.01751274, 2510, 2506
74000, 0.9826908, 2.741299, 0.0183285, 2518, 2514
74500, 0.9828727, 2.74135, 0.02525601, 2519, 2515
75000, 0.9829934, 2.741793, 0.02312013, 2526, 2523
75500, 0.9831204, 2.742128, 0.01656121, 2530, 2527
76000, 0.9831029, 2.742481, 0.01253329, 2538, 2536
76500, 0.9831829, 2.742721, 0.01384425, 2541, 2539
77000, 0.9833891, 2.743116, 0.03082216, 2545, 2543
77500, 0.9835108, 2.743294, 0.02336256, 2546, 2544
78000, 0.9836307, 2.743415, 0.02355744, 2550, 2549
78500, 0.9835395, 2.743831, 0.02079429, 2560, 2559
79000, 0.9835407, 2.744098, 0.01761105, 2567, 2566
79500, 0.9835727, 2.74415, 0.02037322, 2573, 2572
80000, 0.98366, 2.744335, 0.01732421, 2578, 2577
80500, 0.9837667, 2.744655, 0.02437097, 2582, 2581
81000, 0.9838502, 2.744668, 0.01693803, 2589, 2588
81500, 0.9837788, 2.744834, 0.0230377, 2596, 2594
82000, 0.9837658, 2.745093, 0.02109108, 2604, 2602
82500, 0.9837773, 2.745334, 0.02044415, 2609, 2607
83000, 0.9837672, 2.74562, 0.01461768, 2616, 2614
83500, 0.9838832, 2.745839, 0.0234799, 2620, 2618
84000, 0.9839152, 2.746093, 0.01456278, 2625, 2623
84500, 0.9840376, 2.746433, 0.01885753, 2629, 2627
85000, 0.9840141, 2.746651, 0.01185204, 2635, 2633
85500, 0.9839494, 2.746868, 0.01681641, 2643, 2641
86000, 0.9839989, 2.747022, 0.01826181, 2647, 2645
86500, 0.9840154, 2.747413, 0.0135841, 2656, 2654
87000, 0.9841168, 2.747634, 0.01563585, 2659, 2657
87500, 0.9841666, 2.747823, 0.0130141, 2662, 2660
88000, 0.9842386, 2.748036, 0.01245922, 2665, 2663
88500, 0.9842142, 2.748247, 0.01228858, 2674, 2672
89000, 0.984201, 2.748605, 0.01685083, 2683, 2681
89500, 0.9842327, 2.748797, 0.02397477, 2688, 2686
90000, 0.9842557, 2.749052, 0.02014735, 2692, 2689
90500, 0.9842573, 2.749272, 0.0161943, 2698, 2695
91000, 0.984288, 2.749524, 0.01613419, 2703, 2701
91500, 0.9844173, 2.74988, 0.02772038, 2708, 2706
92000, 0.984368, 2.750124, 0.01711488, 2715, 2713
92500, 0.9844176, 2.750311, 0.01901837, 2718, 2716
93000, 0.9843903, 2.7506, 0.01844835, 2726, 2724
93500, 0.9843545, 2.750793, 0.01611202, 2732, 2730
94000, 0.984418, 2.750777, 0.01519469, 2735, 2733
94500, 0.9846057, 2.751004, 0.02727644, 2738, 2736
95000, 0.9845355, 2.751125, 0.01715799, 2745, 2742
95500, 0.9845909, 2.751391, 0.01664959, 2749, 2746
96000, 0.9845278, 2.751678, 0.01035894, 2756, 2753
96500, 0.9845137, 2.751875, 0.0216149, 2760, 2757
97000, 0.984462, 2.752121, 0.01654544, 2771, 2768
97500, 0.9844505, 2.752327, 0.01580596, 2776, 2773
98000, 0.9844785, 2.752399, 0.007199979, 2777, 2774
98500, 0.9845293, 2.752365, 0.01763974, 2779, 2776
99000, 0.9845453, 2.752489, 0.01909847, 2782, 2779
99500, 0.9845543, 2.752748, 0.01265205, 2787, 2784
99999, 0.9846708, 2.752788, 0.02968946, 2789, 2786
100000, 0.9846708, 2.752788, 0, 2789, 2786
100500, 0.984861, 2.75308, 0.02991415, 2791, 2788
101000, 0.9849568, 2.753239, 0.0304912, 2793, 2789
101500, 0.9849257, 2.753387, 0.0148252, 2797, 2793
102000, 0.9849017, 2.753657, 0.01717292, 2804, 2801
102500, 0.9848613, 2.753759, 0.01027153, 2807, 2804
103000, 0.9848933, 2.753906, 0.01022994, 2811, 2808
103500, 0.9849151, 2.753814, 0.006494488, 2815, 2812
104000, 0.9849123, 2.753794, 0.007874709, 2818, 2815
104500, 0.9849755, 2.753961, 0.01233952, 2820, 2817
105000, 0.9850423, 2.754042, 0.01412166, 2822, 2819
105500, 0.9850127, 2.754247, 0.01814479, 2828, 2825
106000, 0.9851853, 2.754462, 0.03313564, 2831, 2828
106500, 0.9852341, 2.754572, 0.01396151, 2833, 2830
107000, 0.9851511, 2.754782, 0.01909236, 2842, 2839
107500, 0.9849984, 2.754903, 0.01866579, 2850, 2847
108000, 0.9849035, 2.754842, 0.01445862, 2854, 2850
108500, 0.9849621, 2.755091, 0.0330736, 2860, 2856
109000, 0.9850605, 2.755305, 0.02240645, 2864, 2860
109500, 0.9851393, 2.755378, 0.02163148, 2867, 2863
110000, 0.9851766, 2.755504, 0.01579148, 2869, 2865
110500, 0.9851457, 2.755637, 0.01328259, 2875, 2871
111000, 0.9851475, 2.755749, 0.01357573, 2878, 2874
111500, 0.9851935, 2.755842, 0.01065869, 2880, 2876
112000, 0.9851629, 2.755823, 0.006203671, 2882, 2878
112500, 0.9851797, 2.755844, 0.01635458, 2884, 2880
113000, 0.9852924, 2.756013, 0.02163244, 2886, 2882
113500, 0.9853221, 2.756119, 0.0180492, 2888, 2884
114000, 0.9853399, 2.756453, 0.01832707, 2895, 2891
114500, 0.985302, 2.756584, 0.01058316, 2899, 2895
115000, 0.985325, 2.756689, 0.01595, 2901, 2897
115500, 0.985347, 2.756743, 0.01726411, 2905, 2901
116000, 0.9853479, 2.756931, 0.01712259, 2910, 2906
116500, 0.9854156, 2.757042, 0.02116739, 2914, 2910
117000, 0.9854851, 2.757292, 0.01625197, 2918, 2914
117500, 0.9854616, 2.75759, 0.01669779, 2925, 2921
118000, 0.9855658, 2.757713, 0.01668724, 2926, 2922
118500, 0.9856257, 2.757924, 0.01615928, 2929, 2925
119000, 0.9856117, 2.758033, 0.01291479, 2932, 2928
119500, 0.9856131, 2.758153, 0.0201118, 2938, 2934
120000, 0.9856063, 2.758137, 0.01056147, 2942, 2938
120500, 0.985546, 2.758304, 0.00962323, 2948, 2944
121000, 0.985558, 2.758374, 0.01120489, 2951, 2947
