iterations, archive avg furnish fitness, archive avg total fitness, avg delta total fitness, elites total, elites furnFitness above 0.8
500, 0.9593712, 2.747894, 0.349537, 346, 321
1000, 0.9631556, 2.750484, 0.3474143, 514, 483
1500, 0.962884, 2.74286, 0.2191546, 614, 575
2000, 0.9630441, 2.742259, 0.2605465, 688, 643
2500, 0.9657121, 2.744648, 0.2608335, 730, 685
3000, 0.9692517, 2.747497, 0.1875864, 735, 696
3500, 0.9726359, 2.751265, 0.2938252, 740, 704
4000, 0.9747229, 2.753592, 0.2705578, 747, 715
4500, 0.975499, 2.753955, 0.130598, 753, 720
5000, 0.9758317, 2.754138, 0.05128678, 757, 724
5500, 0.9778041, 2.75583, 0.1755488, 761, 732
6000, 0.9798554, 2.758005, 0.2540933, 767, 741
6500, 0.9808809, 2.75929, 0.1458415, 770, 745
7000, 0.9809057, 2.759306, 0, 771, 746
7500, 0.9822871, 2.759918, 0.1984912, 775, 751
8000, 0.9834497, 2.761227, 0.1105572, 776, 753
8500, 0.9850079, 2.762786, 0.3023045, 776, 754
9000, 0.9850848, 2.763163, 0, 780, 758
9500, 0.9858842, 2.76371, 0.1190536, 782, 763
10000, 0.9869817, 2.764851, 0.2817461, 783, 766
10500, 0.9880551, 2.766121, 0.2041331, 785, 769
11000, 0.9883626, 2.766482, 0.0574469, 786, 771
11500, 0.9890745, 2.767194, 0.1398985, 786, 771
12000, 0.9898245, 2.768116, 0.2794729, 789, 775
12500, 0.9905645, 2.768907, 0.1914683, 790, 777
13000, 0.9906886, 2.769031, 0.09803915, 790, 777
13500, 0.9906886, 2.769031, 0, 790, 777
14000, 0.9906886, 2.769031, 0, 790, 777
14500, 0.9908916, 2.769234, 0.05345122, 790, 777
15000, 0.9909838, 2.769326, 0.07291675, 790, 777
15500, 0.9910283, 2.769371, 0.01755404, 790, 778
16000, 0.9922984, 2.770792, 0.2489106, 791, 782
16500, 0.9923598, 2.770921, 0.0333333, 793, 784
17000, 0.9926267, 2.771274, 0.1021367, 794, 785
17500, 0.9921102, 2.770278, 0, 796, 786
18000, 0.9924409, 2.770609, 0.1316288, 796, 786
18500, 0.9924409, 2.770609, 0, 796, 786
19000, 0.993553, 2.771814, 0.439418, 797, 788
19500, 0.9937925, 2.771662, 0.09230769, 798, 789
20000, 0.9940049, 2.771995, 0.081761, 799, 790
20500, 0.9941502, 2.772141, 0.1160717, 799, 790
21000, 0.9943142, 2.772305, 0.131063, 799, 791
21500, 0.9944255, 2.771848, 0.08333325, 800, 792
22000, 0.9950336, 2.772498, 0.2407405, 801, 794
22500, 0.9951101, 2.772749, 0.05151522, 803, 796
23000, 0.9951162, 2.772636, 0, 804, 797
23500, 0.9946622, 2.772017, 0.1386684, 806, 799
24000, 0.9947924, 2.772147, 0.1049383, 806, 799
24500, 0.995057, 2.7725, 0.2083333, 807, 801
25000, 0.9951671, 2.77261, 0.08888888, 807, 802
25500, 0.9951671, 2.77261, 0, 807, 802
26000, 0.9951731, 2.772639, 0, 808, 803
26500, 0.9952678, 2.772586, 0.07175922, 809, 804
27000, 0.9952678, 2.772586, 0, 809, 804
27500, 0.9952678, 2.772586, 0, 809, 804
28000, 0.9952678, 2.772586, 0, 809, 804
28500, 0.9952678, 2.772586, 0, 809, 804
29000, 0.9952736, 2.772665, 0, 810, 805
29500, 0.9952736, 2.772665, 0, 810, 805
30000, 0.9953036, 2.772761, 0.01960778, 811, 806
30500, 0.9953094, 2.772826, 0, 812, 807
31000, 0.9953094, 2.772826, 0, 812, 807
31500, 0.9953094, 2.772826, 0, 812, 807
32000, 0.9953094, 2.772826, 0, 812, 807
32500, 0.9958431, 2.77336, 0.4333332, 812, 808
33000, 0.9958431, 2.77336, 0, 812, 808
33500, 0.9962792, 2.773796, 0.3541665, 812, 809
34000, 0.9964241, 2.773984, 0.1140349, 813, 810
34500, 0.9964241, 2.773984, 0, 813, 810
35000, 0.9964967, 2.774084, 0.05555558, 814, 811
35500, 0.9966533, 2.774241, 0.1274509, 814, 811
36000, 0.9966533, 2.774241, 0, 814, 811
36500, 0.9966533, 2.774241, 0, 814, 811
37000, 0.9966533, 2.774241, 0, 814, 811
37500, 0.9969301, 2.774219, 0.2222222, 815, 812
38000, 0.9969301, 2.774219, 0, 815, 812
38500, 0.9969338, 2.7742, 0, 816, 813
39000, 0.9969376, 2.774209, 0, 817, 814
39500, 0.9970906, 2.774362, 0.125, 817, 814
40000, 0.9970906, 2.774362, 0, 817, 814
40500, 0.9970906, 2.774362, 0, 817, 814
41000, 0.9970906, 2.774362, 0, 817, 814
41500, 0.9970906, 2.774362, 0, 817, 814
42000, 0.9971136, 2.774473, 0.01587296, 818, 815
