iterations, archive avg geometry fitness, archive avg total fitness, avg delta total fitness, elites total, elites geoFitness above 0.8
500, 0.8542988, 0.8542988, 0.07030153, 28, 22
1000, 0.8562989, 0.8562989, 0.0217781, 33, 26
1500, 0.8608429, 0.8608429, 0.01525394, 36, 29
2000, 0.8638893, 0.8638893, 0.02004388, 37, 32
2500, 0.8670577, 0.8670577, 0.02930735, 37, 33
3000, 0.8696385, 0.8696385, 0.03183029, 37, 34
3500, 0.8705655, 0.8705655, 0.01143332, 37, 34
4000, 0.8714926, 0.8714926, 0.006859994, 37, 34
4500, 0.8723534, 0.8723534, 0.01061666, 37, 35
4999, 0.8723534, 0.8723534, 0, 37, 35
